Igbo Names;Total;Gender;Vowels;Consonants
Abananobi;9;U;5;4
Abazu;5;M;3;2
Adachukwu;9;F;4;5
Adadioramma;11;F;6;5
Adaego;6;F;4;2
Adaeze;6;F;4;2
Adaiba;6;F;4;2
Adaku;5;F;3;2
Adamaka;7;F;4;3
Adamma;6;F;3;3
Adannaya;8;F;4;4
Adanne;6;F;3;3
Adaobi;6;F;4;2
Adaogu;6;F;4;2
Adaolisa;8;F;5;3
Adaugo;6;F;4;2
Adauke;6;F;4;2
Adaure;6;F;4;2
Adigwe;6;F;3;3
Adikachere;10;U;5;5
Adile;5;M;3;2
Adimchinobi;11;U;5;6
Adinimchukwu;12;U;5;7
Adizue;6;U;4;2
Afamdi;6;M;3;3
Afamefuna;9;M;5;4
Afomachukwu;11;M;5;6
Afuluagu;8;M;5;3
Afuluenuanya;12;F;7;5
Afunwaelotenna;14;M;7;7
Agaegbumegbu;12;F;6;6
Agbo;4;M;2;2
Agbomma;7;F;3;4
Agbooidu;8;F;5;3
Agochukwu;9;U;4;5
Aguha;5;M;3;2
Agumba;6;M;3;3
Agwu;4;M;2;2
Ahamefula;9;M;5;4
Ahanna;6;M;3;3
Ahudiya;7;F;4;3
Ahume;5;F;3;2
Ahumonye;8;U;4;4
Ahunna;6;F;3;3
Ajakifa;7;U;4;3
Ajuluchukwu;11;M;5;6
Ajuruchi;8;U;4;4
Ajuzuego;8;U;5;3
Akachi;6;M;3;3
Akachidera;10;U;5;5
Akachijim;9;U;4;5
Akachukwu;9;M;4;5
Akajiaku;8;M;5;3
Akanu;5;M;3;2
Akaolisa;8;M;5;3
Akarachi;8;U;4;4
Akobundu;8;M;4;4
Akuabata;8;U;5;3
Akuabia;7;U;5;2
Akuada;6;F;4;2
Akualo;6;U;4;2
Akubata;7;M;4;3
Akubuilo;8;M;5;3
Akuchi;6;U;3;3
Akuchie;7;U;4;3
Akudinma;8;U;4;4
Akudo;5;U;3;2
Akukalia;8;M;5;3
Akukwe;6;U;3;3
Akumjeli;8;U;4;4
Akunaedozi;10;U;6;4
Akunna;6;F;3;3
Akuoma;6;U;4;2
Akurueulo;9;U;6;3
Akwaugo;7;F;4;3
Akwugo;6;F;3;3
Alabiko;7;U;4;3
Alisichukwu;11;U;5;6
Alozie;6;M;4;2
Amadi;5;M;3;2
Amaechi;7;M;4;3
Amaefule;8;M;5;3
Amanna;6;M;3;3
Amanze;6;M;3;3
Amaogechukwu;12;F;6;6
Amarachi;8;F;4;4
Amarachukwu;11;F;5;6
Amauche;7;U;4;3
Amuchekwa;9;U;4;5
Amutaobielo;11;M;7;4
Anaechelu;9;F;5;4
Anaelechi;9;U;5;4
Anaemeka;8;M;5;3
Anayochukwu;11;M;5;6
Anenechi;8;U;4;4
Anenechukwu;11;F;5;6
Anezionwu;9;M;5;4
Aniche;6;U;3;3
Anohuoke;8;U;5;3
Anokwuluchi;11;U;5;6
Anolibe;7;U;4;3
Anonime;7;U;4;3
Aṅulika;7;F;4;3
Anwulika;8;F;4;4
Anyanechi;9;U;4;5
Anyannaka;9;F;4;5
Anyikire;8;U;4;4
Apakata;7;U;4;3
Apunanwu;8;F;4;4
Arinzechukwu;12;M;5;7
Awa;3;M;2;1
Azinna;6;M;3;3
Azomgini;8;F;4;4
Azubuike;8;M;5;3
Azuka;5;F;3;2
Azumdiaro;9;F;5;4
Azuwuine;8;M;5;3
Beluchi;7;U;3;4
Binyelum;8;U;3;5
Chekwubechukwu;14;F;5;9
Cherechi;8;U;3;5
Chetachi;8;U;3;5
Chiadikaobi;11;U;6;5
Chiagozie;9;M;5;4
Chiaka;6;U;3;3
Chiamaa;7;F;4;3
Chiamaka;8;F;4;4
Chiasoka;8;U;4;4
Chiazam;7;U;3;4
Chiazokam;9;U;4;5
Chibarameze;11;M;5;6
Chibinobim;10;U;4;6
Chibudom;8;U;3;5
Chibueze;8;M;4;4
Chibugom;8;U;3;5
Chibuifem;9;U;4;5
Chibuike;8;U;4;4
Chibuikem;9;M;4;5
Chibuisi;8;U;4;4
Chibuko;7;U;3;4
Chibulie;8;U;4;4
Chibundo;8;F;3;5
Chibunine;9;U;4;5
Chibunkem;9;U;3;6
Chibuogwu;9;F;4;5
Chibuokem;9;U;4;5
Chibuzo;7;M;3;4
Chibuzume;9;U;4;5
Chidebelu;9;U;4;5
Chidera;7;U;3;4
Chidi;5;U;2;3
Chidiadi;8;M;4;4
Chidiebere;10;U;5;5
Chidiebube;10;U;5;5
Chidiegwu;9;U;4;5
Chidike;7;U;3;4
Chidimma;8;F;3;5
Chidindu;8;U;3;5
Chidiogo;8;M;4;4
