accent,country,country_coord
yoruba,NG,"(9.6000359, 7.9999721)"
igbo,NG,"(9.6000359, 7.9999721)"
swahili,KE,"(1.4419683, 38.4313975)"
ijaw,NG,"(9.6000359, 7.9999721)"
xhosa,ZA,"(-28.8166236, 24.991639)"
twi,GH,"(8.0300284, -1.0800271)"
luhya,KE,"(1.4419683, 38.4313975)"
igala,NG,"(9.6000359, 7.9999721)"
urhobo,NG,"(9.6000359, 7.9999721)"
hausa,NG,"(9.6000359, 7.9999721)"
kiswahili,KE,"(1.4419683, 38.4313975)"
zulu,ZA,"(-28.8166236, 24.991639)"
isizulu,ZA,"(-28.8166236, 24.991639)"
venda and xitsonga,ZA,"(-28.8166236, 24.991639)"
borana,KE,"(1.4419683, 38.4313975)"
afrikaans,ZA,"(-28.8166236, 24.991639)"
setswana,BW,"(48.53775, 9.041169)"
idoma,NG,"(9.6000359, 7.9999721)"
izon,NG,"(9.6000359, 7.9999721)"
chichewa,MW,"(-13.2687204, 33.9301963)"
ebira,NG,"(9.6000359, 7.9999721)"
tshivenda,ZA,"(-28.8166236, 24.991639)"
isixhosa,ZA,"(-28.8166236, 24.991639)"
kinyarwanda,RW,"(-1.9646631, 30.0644358)"
tswana,BW,"(48.53775, 9.041169)"
luganda,UG,"(1.5333554, 32.2166578)"
luo,KE,"(1.4419683, 38.4313975)"
venda,ZA,"(-28.8166236, 24.991639)"
dholuo,KE,"(1.4419683, 38.4313975)"
akan (fante),GH,"(8.0300284, -1.0800271)"
sepedi,ZA,"(-28.8166236, 24.991639)"
kikuyu,KE,"(1.4419683, 38.4313975)"
isindebele,ZA,"(-28.8166236, 24.991639)"
luganda and kiswahili,UG,"(1.5333554, 32.2166578)"
akan,GH,"(8.0300284, -1.0800271)"
sotho,ZA,"(-28.8166236, 24.991639)"
south african english,ZA,"(-28.8166236, 24.991639)"
sesotho,ZA,"(-28.8166236, 24.991639)"
"swahili ,luganda ,arabic",UG,"(1.5333554, 32.2166578)"
