accent,wer
twi,0.18961038961038962
igbo,0.23185731857318573
isizulu,0.23516320474777447
luganda,0.3367521367521368
setswana,0.24513338139870222
yoruba,0.2560835629017447
swahili,0.2109661896922882
zulu,0.2797413793103448
sotho,0.24338624338624337
tshivenda,0.1875
kubi,0.20088300220750552
shona,0.16265060240963855
luo,0.2914285714285714
sepedi,0.3815261044176707
akan,0.256
gbagyi,0.2894736842105263
brass,0.15317286652078774
oklo,0.23450586264656617
pidgin,0.2485294117647059
efik,0.5362318840579711
ekene,0.24769433465085638
ika,0.18128654970760233
berom,0.2732919254658385
hausa/fulani,0.33613445378151263
jaba,0.30058651026392963
itsekiri,0.2630937880633374
ukwuani,0.2767527675276753
akan (fante),0.2727272727272727
hausa,0.28882144663631765
yala mbembe,0.2766884531590414
ikwere,0.1781874039938556
idoma,0.26567656765676567
afo,0.1969111969111969
fulani,0.2967741935483871
english,0.2773109243697479
ebiobo,0.19951923076923078
igbo and yoruba,0.21458625525946703
alago,0.27602523659305994
okirika,0.18199608610567514
afrikaans,0.22011834319526627
kalabari,0.34459459459459457
ijaw(nembe),0.31176470588235294
luhya,0.27582534611288606
venda,0.21428571428571427
anaang,0.27040816326530615
bekwarra,0.2564102564102564
benin,0.2076923076923077
bette,0.125
okrika,0.30392156862745096
etsako,0.28761061946902655
tswana,0.19367588932806323
kiswahili,0.16346153846153846
kinyarwanda,0.3333333333333333
xhosa,0.2796208530805687
kikuyu,0.17086834733893558
isindebele,0.17293233082706766
isixhosa,0.20784313725490197
venda and xitsonga,0.1506849315068493
south african english,0.11538461538461539
sesotho,0.4248927038626609
meru,0.1807909604519774
siswati,0.3076923076923077
ijaw,0.2727272727272727
igala,0.3108108108108108
izon,0.31724137931034485
ebira,0.2344582593250444
urhobo,0.2808988764044944
nembe,0.32653061224489793
ibibio,0.2261768082663605
esan,0.12432432432432433
isoko,0.273972602739726
edo,0.3229571984435798
epie,0.22036082474226804
afemai,0.3396825396825397
nupe,0.1676300578034682
tiv,0.2896174863387978
ogoni,0.28214285714285714
eggon,0.16689750692520774
bini,0.43305785123966944
"yoruba, hausa",0.16106194690265488
ekpeye,0.2679528403001072
bajju,0.19300361881785283
kanuri,0.48318804483188044
delta,0.24536532170119957
khana,0.36886993603411516
ogbia,0.2898936170212766
mada,0.28023850085178875
mwaghavul,0.2849162011173184
angas,0.4131578947368421
ikulu,0.24346076458752516
eleme,0.2985781990521327
igarra,0.3313008130081301
etche,0.23595505617977527
agatu,0.4059196617336152
bassa,0.2849002849002849
jukun,0.17510259917920656
urobo,0.3087971274685817
ibani,0.29708222811671087
obolo,0.18993135011441648
idah,0.3192090395480226
eket,0.30451127819548873
nyandang,0.3983050847457627
estako,0.3888888888888889
ishan,0.3926174496644295
bassa-nge/nupe,0.23157894736842105
bagi,0.2582781456953642
gerawa,0.5605381165919282
ngas,0.1417004048582996
