idx,user_ids,accent,age_group,country,transcript,nchars,audio_ids,audio_paths,duration,origin,domain,split,gender
196530,46315ef54b95da7087afa37ddf54247f,swahili,26-40,KE,"A footpath and National Cycle Network cycleway run alongside the Portishead Railway and along the old towpath .
",111,783d80209d23256a5270d10f751dbe46,/AfriSpeech-100/test/09c860dc-4354-4135-b6ab-f521ea179cdf/0b9b31cb54da2224185e9bb944eb78da.wav,10.371995464852608,african,general,test,Female
330503,7dbc32f7d45ffed549a82c1614fe4e4d,ekene,19-25,NG,"Even after the volley, the Rebel forces were still vastly outnumbered.
",70,a7aa437a67ffab43f973f58512ae2131,/AfriSpeech-100/test/534d7472-5c08-4fae-9349-c03fec51fd20/921456d581c5183d22a8c1662647dbbc.wav,4.616984126984127,nigerian,general,test,Male
357071,6653712c0e2c617bfa5f8469d69c2163,jaba,19-25,NG,"Tinubu as a game-master in politics can sacrifice personal interests for his partys win.
",88,18fd25c48d2ce5b5ae49992dd1a2994d,/AfriSpeech-100/test/3089079d-b2ff-482e-8a5a-39c949698f5c/28f87600531493767159c4abd14b3593.wav,7.258979591836733,nigerian,general,test,Female
450381,062a6e856921674d55a3b54f31725f81,ukwuani,19-25,NG,"Reuters emails and calls to Grandefex went unanswered. In June 2020, Germanys regulator said the platform was unauthorised and ordered its closure.
",147,4a48a08f7d071117938438a68f3137a3,/AfriSpeech-100/test/ab80cd5b-cb2b-4b58-a2c4-208d20acc380/983a51e61e3e3bc34177ff4813ba96c5.wav,10.427981859410432,nigerian,general,test,Male
421195,803297b4bbd524fa708a18f3f117b79e,igbo,19-25,NG,"Tuesday 28 April, 1998 next line. Neuro: Pt Daramola Achike 08 February, 2003
",77,97dec2aea6a8f481dc2b68991c73d32c,/AfriSpeech-100/test/ee3a0205-d73d-4890-9c4f-bb29a38e5181/1f6f931ca80ef5f8fad73a4e5649f0db.wav,8.366984126984129,nigerian,general,test,Female
307962,0025a3634a3f45e792d1567b9cdcd246,oklo,26-40,NG,"Support for mother Abeni Chinememma and family Chinaecherem and may need social worker consult.
",95,3a147357505fdd181b32f6fc0e871a9e,/AfriSpeech-100/test/b6c84a08-7e3a-4cf9-ac28-3ff9cbfde3df/388f79f5b4b8de8bda91223cff67c06f.wav,8.720997732426303,nigerian,general,test,Female
382066,37b0fcb1ccb17a29ee75bce1dfd0314a,afo,19-25,NG,"Microsoft had previously stated that Microsoft Flight Simulator would be Content Creator-Friendly in a previous interview.
",122,696a12bb863995ab20838c6f123c6b48,/AfriSpeech-100/test/172a933f-dc11-4778-a443-8065464bdb20/45ce8831822571a3afe4abccb7dffc6b.wav,7.100997732426304,nigerian,general,test,Male
223299,bfa5c0cc66e4c29bd724d1352f68e09d,yoruba,26-40,NG,"He currently lives in Brooklyn.
",31,4fb45906c929e5d85c5b01bd1a3d5fb6,/AfriSpeech-100/test/7e45b2fc-c185-4eb2-8775-84bc6eae1825/ad73d9ecd4a4570447d5a8b4444de4a2.wav,2.6689795918367345,nigerian,general,test,Male
223562,bfa5c0cc66e4c29bd724d1352f68e09d,yoruba,26-40,NG,"Henderson wrote that so far, there has been no evidence of spread to students from the dining hall and that the current seven-day positive test rate at Northeastern is 0.08.
",173,0410c2cb91d09f881a534cae1e549020,/AfriSpeech-100/test/7031e30e-224a-47bf-9874-598c463cb9a9/c3e5c02cad52c35cf851f42c6ced5c17.wav,18.476984126984128,nigerian,general,test,Male
63445,aa17f99983008200f5bc2cbd1ad7e5b2,alago,56yrs>,NG,Any statement that the Chinese government makes on Guis behalf should be viewed as not credible.,96,97ecb83cdbe7680f1df5a89f9b27d3a4,/AfriSpeech-100/test/5bbca152-1c67-4205-9a5c-2af23e8d5c84/439321cc3de40dbd9670e6e17c869da0.wav,5.848979591836735,nigerian,general,test,Male
312469,a1dd0007687f8c1a5a22e67fc8edbb64,igbo,56yrs>,NG,"This morning Chimereya came to Chinoye hospital in Ibadan to see Dr Hussaina
",76,f2ad15cb882bf06f0ba384d82abdc19f,/AfriSpeech-100/test/693814b9-21be-49b2-9644-731fad0c2003/10c9abe5ca5dbe03fb8f54cd4d80ab7f.wav,5.36,nigerian,general,test,Male
56421,01c5ab3d209856fe8a17e8d1765f6a61,okirika,41-55,NG,"Americans are largely approving of how U.S. institutions and leaders are responding to the coronavirus situation, Gallups Justin McCarthy wrote.",144,c70205f87deae61322d3b6490aceb8f8,/AfriSpeech-100/test/1a6374d1-7289-4117-9f0f-f9080d5ea1f0/91b07028f76e844fd56df5ed28e24af4.wav,14.280997732426306,nigerian,general,test,Male
401050,2c46bf929b77b90ce51a1c8f81c91b0c,igbo and yoruba,26-40,NG,"Kizz has been known for dropping hit songs, so when he reached out to you for this track, how much pressure did you soak in?
",124,5c8dd1221f2eeba098da164fbbbbd0fe,/AfriSpeech-100/test/867c16a5-20c7-4881-ba19-03e7b967f146/f09cc68055e71d867ca2ead7f52b776d.wav,9.620997732426304,nigerian,general,test,Male
310476,5328a1cc3e8a8bb87e9736e5201f8c1a,kalabari,19-25,NG,"Dr. Nwanneka is w/ the Pt Nagona at this time and has also spoken to Pt's neice Kujore
",86,a2e288da59e986fcb547c3b9000d00ee,/AfriSpeech-100/test/e7e5f40f-be39-4473-9f41-b46a5f014c66/3ef1f7240d84bc9ab466da9829b38721.wav,7.816984126984128,nigerian,general,test,Male
23613,0c4d4e7b69f583d76d8243cc0c0d7df0,luhya,41-55,KE,"Townsend for comfort reasons from thenasal cannula to the mask, you could have increasedher oxygen anywhere from 12 to 32, and even asmall increase in oxygen has the potential to stop herbreathing.
",197,f6650aa8ccf370923700c07f2bee6dc6,/AfriSpeech-100/test/c1472e34-f84b-4137-908b-43b23259f181/2c80a60935bbfabaae49c736ac6c1217.wav,18.22,african,clinical,test,Female
16627,0c4d4e7b69f583d76d8243cc0c0d7df0,luhya,41-55,KE,These three countries along with Taiwan and Vietnam did not declare a national lockdown.,88,7c03b97f58c0e55716a8989fdd88c158,/AfriSpeech-100/test/3bfbb0bf-38ae-4d73-aa0f-8b1a29630405/b2d9a9565798c2dd8f3bacdb2e56cdb0.wav,7.152993197278912,african,general,test,Female
82422,0c4d4e7b69f583d76d8243cc0c0d7df0,luhya,41-55,KE,"Last child birth was 10 Jul, 1979 Ifechukwukwuru attained menarche at 11 years of age, menstruated for 5 days with 2 pads per day since onset of symptoms.
",154,9a438750335875600cd06ea547d351e3,/AfriSpeech-100/test/eb4c5ef1-e041-45ed-8f9e-795b68eb93b9/7d8023124b841e2aec24f5be4e9ac3d7.wav,19.656984126984128,african,general,test,Female
16624,0c4d4e7b69f583d76d8243cc0c0d7df0,luhya,41-55,KE,"Vince had an uninspired art career.
",35,2de9ac8e6620c176ba77cdf1e57f4443,/AfriSpeech-100/test/44017be7-48a2-4358-a940-7aea43313a01/34a6c27548a7651d32ae7ad2235d28c2.wav,3.3489795918367347,african,general,test,Female
17267,0c4d4e7b69f583d76d8243cc0c0d7df0,luhya,41-55,KE,"Menstrual bleeding for 14 days, contained with 4 pads per day with implant insertion. next line. Iwegbune Batagarawa Dizziness, fainting spells or loss of consciousness",168,8834d1a795107f182827bbe1f8fa8359,/AfriSpeech-100/test/ee712daa-7696-4d02-be34-9ca0b5e1eb87/164503154f90ab378589858fabd356b0.wav,18.28,african,general,test,Female
23542,0c4d4e7b69f583d76d8243cc0c0d7df0,luhya,41-55,KE,"Based on these two features, Rappaport divided NHL into two major sub-types: 1.",77,90ed267299246830e31a119a5659f3cf,/AfriSpeech-100/test/210d7ac4-7a40-474c-ba9e-c07b1f1d4889/502de6caa196becb30b2e07a8e01557d.wav,10.69498866213152,african,clinical,test,Male
520009,2ef6a6db1698d97a49904725d2b4481b,hausa/fulani,<18yrs,NG,Hussain and active with cares MAE AFF.,38,b7a6e235b66659f13cd30855513b3374,/AfriSpeech-100/test/c9b56d87-a76a-4554-842e-0a529a5b44c5/da53d6bc2b461b9efb2bdeb70a390777.wav,4.02798185941043,nigerian,clinical,test,Male
350776,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"Representatives from the state Ministry of Health, Federal Ministry of Women Affairs and Social Development, FIDA, Nigeria Police Force and other agencies applauded the gesture of BellaNaija in partnership with USAID  RISE.
",222,66b99293add6a4c0f9ce299dbcdbdff3,/AfriSpeech-100/test/c60ecf59-2ad1-46b3-aacf-f0dbf8b10e02/934fa3d95f3dda2b4c0339b0acd1facb.wav,16.00498866213152,nigerian,general,test,Female
262996,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"Still on the same topic, Asiribo Precious of Ibadan Grammar School was for it, while Olajide Iyanuoluwa of Louis Grammar School was against it.
",143,7c35bd1cc3adc6a26693714b4cc98a65,/AfriSpeech-100/test/9abf44c3-56d3-494f-8e94-ef79e98550f7/b2dfdffb25ec344b2388eea720fd12e0.wav,9.626984126984128,nigerian,general,test,Female
344321,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"A post shared by Microblading  Aesthetics dbrowlyfe
",50,ea3dd5ab2fa0c8642b5b6c7e75e04e60,/AfriSpeech-100/test/661347ff-98b7-4810-8434-c1d3e043422f/7f0143e7c935aa2ac12643f7b903160b.wav,4.046984126984127,nigerian,general,test,Female
196664,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"The emeritus professor of bacteriology at Aberdeen University believes there is no need for concern as the new cases are largely isolated in one cluster.
",153,aa3580806c98aedc1640dc86b6d63578,/AfriSpeech-100/test/9118a11a-0c55-424b-8ef0-2f8d61f64ac6/5d04eb32d99808abf391485443ad6a06.wav,9.270997732426304,nigerian,general,test,Female
282775,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"NA said it was still determining who would sit on the selection panel.
",70,09395eecf7b4f5c3f640adbf1a3b8b37,/AfriSpeech-100/test/36359a21-3844-45a6-bef9-8ab7556a86b2/5b4017d6ad77ef7720e5ebc90b34f435.wav,4.27798185941043,nigerian,general,test,Female
235115,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"The go-ahead has been given to redevelop a council flat complex in Dublins north inner city.
",92,00932e37aea48a34bed3f10a2f071b81,/AfriSpeech-100/test/806c99cd-8f41-4b6c-ab7e-b36e4fd9e323/b0f9dd6bea4393b1a54fecca6e4b7ccf.wav,6.8,nigerian,general,test,Female
168332,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"Po valium with adequate effect Plan: Provide support Demographics Attending MD: Adeville Kamba
",94,0ab53b71477769358b46abb5eb79b032,/AfriSpeech-100/test/a2539083-c731-4eb3-9e3a-d3cef87fc954/04019a5204b504a1f19b7373bc4d0138.wav,6.560997732426304,nigerian,clinical,test,Female
196691,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"Im convinced, with very little evidence, that this is one of the few things in his life that Eisenhower ever regretted.
",119,01dd7c6807eaf622dc60e42681f6f0d9,/AfriSpeech-100/test/6c6cd6ab-9150-4d4c-905f-7f3c440a5fbf/0f64e15152ebad7b9254d2ce457ae8e0.wav,7.988979591836735,nigerian,general,test,Female
350494,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"Chiekezie Enibraye PEEP dropped to 8 sucessfully this PM.
",57,56534c63169bcbc9d29c2d7476f6a139,/AfriSpeech-100/test/5c890084-3b5a-43c8-9f57-143d858fcb1c/b98db969db3f2fbf9d9100d79189874a.wav,6.408979591836735,nigerian,general,test,Female
196241,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"In the mens version, Sikiru Adeyemi, Nathaniel Samson and Johnson Nnamani failed to advance to the final, extending Nigerias long 24-year wait to get an African champion since Clement Chukwu won the gold medal in Dakar, Senegal in 1998.
",236,8ea54536c82a99c56767146b40e83745,/AfriSpeech-100/test/1dd6a760-ef69-4cec-8c3f-c49ee6a9aa62/40bea59f5ec8c6278a819d41d05ad8b5.wav,18.622993197278927,nigerian,general,test,Female
282901,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"NNPC has been the sole importer of petrol into Nigeria for several years running. The firm has also been subsidising the commodity all these years.
",147,a015d72f26498205a09a0750158c93f2,/AfriSpeech-100/test/3e6b006a-2a3f-4533-9651-17ecd80aa6f5/855619076379c51f3e65f29c88252fd8.wav,8.863990929705215,nigerian,general,test,Female
349148,930cb27b024cc22dcbb1c249232ed375,bekwarra,19-25,NG,"When Cassocor Bogahday awoke after several hours of sleep unfamiliar with Oudtshoorn surroundings.
",98,5737ca5f70f2de6ef07a6b4db5fd8e1b,/AfriSpeech-100/test/68614ede-1c5d-4836-a800-d24e419f1ef0/80bd4c2c35c2b22076e3a94dc710ccbf.wav,1.3629931972789116,nigerian,general,test,Female
13607,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,The consultant Asaroyoma Adelola and the chief resident agreed the situation with Nwaele Chikelue could have been complicated by either CHF or dehydration.,155,a1548ab06fd4cb113fb9691edbcb0abd,/AfriSpeech-100/test/89b31ddb-9684-4883-b45c-2c7ca3a5ce4b/8ae5b9ea8668e93be7907efd4bc5aaae.wav,16.045986394557822,nigerian,general,test,Male
13467,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,IzuOjukwu OkeyOgunjioforAMVCA AMVCA8 pic.twitter.com3qOcOcftj6,62,8976dc7ac0cf57b7d29b4c988b7f1253,/AfriSpeech-100/test/dd9f50d9-d4dc-4e26-8220-f1bd45595ca0/d4ad28e927cd28e199ac855740462400.wav,17.646984126984123,nigerian,general,test,Male
13276,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,In 2014 a case by the state of California against a number of companies decided against Sherwin - Williams NL Industries and ConAgra and required them to pay  1 . 15 billion .,174,6ce6ed9dd34df96148399888ec96b8d9,/AfriSpeech-100/test/e22fcb13-a0a7-4975-81e9-8e3fa7a09bfd/0d8ddee52e5be6408f0126af28d91948.wav,18.58299319727892,nigerian,general,test,Male
13567,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,"The footballer was arrested at just after 3.10pm at Pearse Street garda station and charged minutes later, Judge Anthony Halpin was told.",137,1d3ef9e186e2f7af8a7875c82878706c,/AfriSpeech-100/test/c5e91406-1769-40dc-8fc1-f3d7fac9a706/0c147c12058ad7417f8ebce34daa2ceb.wav,14.985986394557823,nigerian,general,test,Male
13609,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,Ogechukwu will be in to visit Ladipo in the AM at Kano,54,6df8b6f99f96b30d35ed6ecdd785c65f,/AfriSpeech-100/test/0c373aaa-f2ef-4f39-9146-48530a11a624/4fc3849c49b085457825f7567e42ac51.wav,4.974988662131519,nigerian,general,test,Male
13509,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,Things get heated as Boma got confronted by both Queen and Beatrice over his shenanigans in the House.,102,ec153c961736594b26208cd006a10ed1,/AfriSpeech-100/test/90e07bb2-7ca9-409f-9abc-7066b9d4c6d3/1e47356f82ad8cec88082ecd8eeeaab7.wav,9.53498866213152,nigerian,general,test,Male
13370,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,"The San Onofre Nuclear Generating Station SONGS, located on the Pacific coast about five miles southeast of San Clemente, is one such site.",139,08d6dac27bac83b1a98cfeece6abc22e,/AfriSpeech-100/test/c91ad44e-e5b9-4172-ac11-3e570e9752d5/8b3a4423efed5f9adec20227aba0cf06.wav,14.946984126984129,nigerian,general,test,Male
13341,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,He took credit for using Houthi rebels to target Saudi oil tankers.,67,9ffc73785b8855e0389f92326d32c080,/AfriSpeech-100/test/fa70362f-1a7e-4c44-bba5-517315ef6a1d/a153bf5d6f97c8f0dc193cf55d5cab63.wav,6.23,nigerian,general,test,Male
13052,76788d03e736b1c71a3464b3ed238ba9,benin,41-55,NG,Descartes Systems Group has a one year low of 33.35 and a one year high of 47.43.,81,79ac5cd82580bc95fbf43b039a12c218,/AfriSpeech-100/test/58e5e951-2dd7-4e03-bdee-569574513c07/b53e3c18ef67ffe636056117172e37f8.wav,10.330997732426304,nigerian,general,test,Male
642768,1281cf779708a9704facbd421770169f,etsako,26-40,NG,Standard Report - Normal Venous Vascular/US Exam,48,9c696bb89caedea783c636ccdcc02b4d,/AfriSpeech-100/test/a3ab3d9d-b55b-4cfe-bd5c-416bbbdfcce5/c110f9b56b4995063d02b0f33e50c802.wav,5.924988662131518,nigerian,clinical,test,Male
594285,1281cf779708a9704facbd421770169f,etsako,26-40,NG,10 Dec 1993 6: 50 PM CTA CHEST W and W/O C and RECONS NON-CORONARY; CT ABDOMEN W/CONTRAST CT PELVIS W/CONTRAST,109,dae70615f31d4188e1894a8851db950a,/AfriSpeech-100/test/a644e091-9ef1-483d-9e84-dc8cb6c500b8/550c0b25b5c46c226eb60b8e761871cd.wav,14.396984126984124,nigerian,clinical,test,Male
80212,24686d56b9a3460ef3b3d0d49143bf70,igbo,26-40,ZA,"In the next five years, Nigeria can attain self-sufficiency in milk production.
",79,3df7c5321661b5c37fbd543a75825d02,/AfriSpeech-100/test/8fba8177-8a54-452f-ac5d-5403621232ee/4fabb52055a14346f2d177590ee3d8d7.wav,6.085986394557822,african,general,test,Female
673007,98a1b67c87be98778e47c3bf9f18f445,igbo,26-40,US,Action: Pt had HD yesterday with Response: Plan: Pt has been called out and is waiting for a bed on the Nwabuisi.,113,cbf15ccee5676a6fe5f73e843c2024a3,/AfriSpeech-100/test/11fec26e-f89e-43ba-a066-adefc101dae8/67a885a3f164fd454a7014a98a971104.wav,9.768979591836734,african,clinical,test,Female
673034,98a1b67c87be98778e47c3bf9f18f445,igbo,26-40,US,GI: ABDOMEN SOFT NON-TENDER APPETITE FAIR BUT IMPROVING NO STOOL,64,36c14ff38c73d6ebc90db41430b058d1,/AfriSpeech-100/test/3b6067ab-06b9-4b00-9bc2-88e273523a75/a642a9eb190ff7c69d371bde7949de71.wav,7.592993197278911,african,clinical,test,Female
673037,98a1b67c87be98778e47c3bf9f18f445,igbo,26-40,US,I agree with the above assessment written by Egboe Nomer.,57,3b5cbe1c64b541fcf975f75d699fcbb4,/AfriSpeech-100/test/c72a9c67-e034-4429-acb7-a150f0ed99b6/10e492cca098ca49d1846e51f0be7cd4.wav,3.4189795918367345,african,clinical,test,Female
229475,19088ce1cf72ce38349e91793b71bf40,swahili,19-25,KE,"4 yr old male Onyenyeaka Ugonne with 4 days hisotry of cough, catarrh, and fast breathing. Next line. Cough is high grade, non-paroxysmal, non-distressing, productive of yellowish sputum. Next line
",197,4864c390e2aaf1f9439be87876d4a7a0,/AfriSpeech-100/test/9bb0a775-da41-48dc-a18c-3f03ed20135d/2b56eeb3bd190fc9326afbc4d844cd55.wav,22.41399092970521,african,general,test,Female
416219,f00d6ca5ae4bdad6bff0da63644b5956,swahili,26-40,KE,"In Nigeria, many of the older adults are still totally caries-free but the prevalence of dental caries among children and young people who have picked up sweet eating habits is rising rapidly.",190,0f87199e0e477defc05ce596643d8964,/AfriSpeech-100/test/65f75d21-489b-4016-8cf1-3a6ae42e2b68/278bca34ceceace7e6413ee3b1d16f4a.wav,15.605986394557824,african,clinical,test,Female
43194,6797fff3246da56ee90a186dae614051,swahili,19-25,KE,"Following the breakup of The Spirit Squad , Johnny became the second member of the team to return to the main roster when he appeared during a 30 - man battle royal on the December 18 , 2006 episode of Raw , wearing new wrestling attire .",238,35e12b9d8464a3a5a21e1e578526aa55,/AfriSpeech-100/test/b9e4ab78-36df-42b1-9b7c-73ecdeabf5de/3c8e10e5ef5380426897e8a84b58c327.wav,21.75698412698413,african,general,test,Male
140403,3e70b4519142a562dbdf98ea3eee8938,swahili,26-40,KE,"In fact, due to the importance of franchise, the current President of the challenged Ukraine, Volodymyr Zelensky, was a comedian.
",129,c79fc655c94243dc2d2ad64b13206822,/AfriSpeech-100/test/843d42bc-9334-4b44-a162-a91aea055c62/d12cef06ec39d9584ebed62246c40461.wav,9.918979591836734,african,general,test,Female
53156,4a6ec596f336fea1e3e9b55be5c65a1a,swahili,19-25,KE,"Drafted as defensive midfielder for the game despite his best position being offensive. Aribo tried so hard to influence the game from the deep lying playmaking role. RATING: 5
",176,92ee7e5b546a0115f8db634eb9cc85ae,/AfriSpeech-100/test/2531b600-d23d-4d7b-b444-02fe10a81a4e/e83f816fcb895c88f895042b833dc710.wav,13.412993197278912,african,general,test,Male
52785,4e6385ad4c3d86e94b67d95118475404,swahili,26-40,KE,"A voice commands Simon Peter to eat.
",36,5d621d858021a5443c3c6539cc02e290,/AfriSpeech-100/test/377952b3-a424-4fb9-8dfa-941ef2f18e27/7a187dd0a512c641556a1949980e3318.wav,3.710997732426304,african,general,test,Female
134611,2216c578eeaeaa9e73262533afcf130b,swahili,19-25,KE,"No, it was done in good faith Dabang, APC chairman
",50,44e2b168f15ce9ad00298a14662188ac,/AfriSpeech-100/test/b4d24cb5-5199-4b57-b283-96cff44f5d8f/fc9974562047ca4491658c1ee61ccea9.wav,4.617981859410431,african,general,test,Female
60712,e77b7a02e13a4619d98b0177a76cc67a,swahili,41-55,KE,Simpson RHW: Salivary gland tumours.,36,feff47f853233fb8803ab5f2f51bb66a,/AfriSpeech-100/test/eb732da0-1aa3-472d-b6bd-ed440b2ace0b/a90e0683361532a01667d8b1dc9ef55e.wav,5.963990929705216,african,clinical,test,Female
401606,f00d6ca5ae4bdad6bff0da63644b5956,swahili,26-40,KE,"Lin T-Y 1989 Neurasthenia revisited: Its place in modern psychiatry.
",68,3a564b9b5f0bd32a8267900bb26d2b9f,/AfriSpeech-100/test/519f2974-57c0-45c6-8206-e097d62881f3/c499d10c98c8caaedb88424a50d6715c.wav,10.83498866213152,african,clinical,test,Female
67012,3f7c48c903ef6a5f454d5fd7c744c532,swahili,19-25,KE,"The patient was in a hurry to get thier Labs and Radiology result from Nneji Enyinnanya Diagnostic center, Gombe
",112,464f7ccdca4e719274136d3a849467c8,/AfriSpeech-100/test/f4490956-7210-4bca-8635-3345cf1963b6/0599e5d4d22a1b48b16d05b853337da5.wav,12.11498866213152,african,general,test,Male
130066,7e4659cd57745551152b0cee3359c7cb,swahili,19-25,KE,"Thats an impressive statistic by itself, but considering that approximately three-quarters of world Jewry lived in Eastern Europe at the time, that amounts to about 25 percent of all Jews in the world.
",201,738fc6d2527afd2514e5c869322f32f5,/AfriSpeech-100/test/76b63536-000b-4db0-baa0-bb624aba15d5/cbdd273f7a6c84f6a1348c3ae51d41cf.wav,20.59299319727891,african,general,test,Male
140332,3e70b4519142a562dbdf98ea3eee8938,swahili,26-40,KE,"Abdominal fullness with abdominal pain. next line. Babalade Lotachi Ogaminana No history of use of blood thinners. No history of blood disorders in the family. She does not bleed from any other orifice
",201,0f2b80cedc4d707e65fcc98db5c1e60d,/AfriSpeech-100/test/06a48cae-6366-42f8-8261-8f13f0652db8/16de69f63974580b1d40b8adc7fd39a5.wav,14.735986394557823,african,general,test,Female
196535,46315ef54b95da7087afa37ddf54247f,swahili,26-40,KE,"As the Saturday sun set, Entergy Texas announced 32,515 customers were without power in the areas that includes Groves, Nederland, Port Arthur, Port Neches, Sabine Pass and Taylor Landing.
",188,6a57b96661b9ab69fa25cb42d785e120,/AfriSpeech-100/test/7baceec3-f4bf-492c-a27c-9cae0534ec58/565a0ffeca93a7679cc10a1b18a93767.wav,18.135986394557825,african,general,test,Female
362523,2e912cd34fc79ecd39d79d2e7bab8741,swahili,19-25,KE,"Dr. Chukwueloka Omimichukwu claims Cough, catarrh, fever, STI, abdominal pain, constipation, sore throat are the most common presenting complaints at Lagos hospital
",164,0f3410b8d096780e4117d5db86e3b8e5,/AfriSpeech-100/test/a782e35a-88bc-4669-8bea-5ff24526f485/5742ae0106977f96a55325e2e542f9d7.wav,17.23,african,general,test,Female
52865,4e6385ad4c3d86e94b67d95118475404,swahili,26-40,KE,"WBZ Mid-Morning Forecast For August 25Dave Epstein has your latest weather forecast.
",84,4d2c0c7d40d065f7b8bcd212fa0f0e22,/AfriSpeech-100/test/6f6692f3-098c-4a25-8344-1d8ba8bf432f/3df3d73bac7bbbb384a5889969e6ad6b.wav,10.192993197278913,african,general,test,Female
