audio_paths,accent,fluentLanguage,user_ids,gender,sentenceID,transcript,duration,audio_ids,domain,split
EFIKIBIBIO_EFIKIBIBIO_0014_M_B0098.wav,EFIKIBIBIO,EFIKIBIBIO,14,M,B0098,Philip looked back from the crest and saw Jeanne leaning over the canoe.,4.37,EFIKIBIBIO_EFIKIBIBIO_0014_M_B0098,general,train
YORUBA_YORUBA_0049_M_A0496.wav,YORUBA,YORUBA,49,M,A0496,And Tom King patiently endured.,2.47,YORUBA_YORUBA_0049_M_A0496,general,dev
IGBO_YORUBA_0060_F_B0124.wav,IGBO,YORUBA,60,F,B0124,"Two weeks passed, and in that time Thorpe left camp three times.",4.05,IGBO_YORUBA_0060_F_B0124,general,train
IGBO_IGBO_0019_F_A0166.wav,IGBO,IGBO,19,F,A0166,Two days ago Jeanne learned where her father's men were hiding.,4.42,IGBO_IGBO_0019_F_A0166,general,train
IGBO_WESTERN_0025_F_B0372.wav,IGBO,WESTERN,25,F,B0372,Mr McVeigh told me about him.,2.71,IGBO_WESTERN_0025_F_B0372,general,train
IGBO_WESTERN_0025_F_B0241.wav,IGBO,WESTERN,25,F,B0241,The women they carried away with them to the Big Valley.,3.66,IGBO_WESTERN_0025_F_B0241,general,dev
IGBO_YORUBA_0416_M_B0453.wav,IGBO,YORUBA,416,M,B0453,"Isaac Ford, the austere soldier of the Lord, the old hypocrite.",3.95,IGBO_YORUBA_0416_M_B0453,general,train
IGBO_IGBO_0045_F_A0087.wav,IGBO,IGBO,45,F,A0087,"Philip bent lower, and stared into the face of the dead man.",3.1,IGBO_IGBO_0045_F_A0087,general,train
YORUBA_YORUBA_0007_F_B0116.wav,YORUBA,YORUBA,7,F,B0116,"I have hunted along this ridge, replied Philip.",3.18,YORUBA_YORUBA_0007_F_B0116,general,train
YORUBA_YORUBA_0006_M_B0496.wav,YORUBA,YORUBA,6,M,B0496,I have seen myself that one man contemplated by Pascal's philosophic eye.,4.87,YORUBA_YORUBA_0006_M_B0496,general,train
YORUBA_YORUBA_0041_F_A0056.wav,YORUBA,YORUBA,41,F,A0056,Pearce's little eyes were fixed on him shrewdly.,6.71,YORUBA_YORUBA_0041_F_A0056,general,dev
YORUBA_YORUBA_0063_F_B0182.wav,YORUBA,YORUBA,63,F,B0182,I was in New York when the crash came.,2.56,YORUBA_YORUBA_0063_F_B0182,general,train
IGBO_WESTERN_0054_M_A0163.wav,IGBO,WESTERN,54,M,A0163,Philip made no effort to follow.,1.62,IGBO_WESTERN_0054_M_A0163,general,train
YORUBA_YORUBA_0167_M_A0110.wav,YORUBA,YORUBA,167,M,A0110,"Much, replied Jeanne, as tersely.",3.09,YORUBA_YORUBA_0167_M_A0110,general,train
IGBO_IGBO_0011_M_A0252.wav,IGBO,IGBO,11,M,A0252,O'Brien had been a clean living young man with ideals.,7.73,IGBO_IGBO_0011_M_A0252,general,train
YORUBA_YORUBA_0172_F_A0225.wav,YORUBA,YORUBA,172,F,A0225,I was brought up the way most girls in Hawaii are brought up.,4.84,YORUBA_YORUBA_0172_F_A0225,general,train
YORUBA_YORUBA_0089_M_A0166.wav,YORUBA,YORUBA,89,M,A0166,Two days ago Jeanne learned where her father's men were hiding.,3.86,YORUBA_YORUBA_0089_M_A0166,general,train
